instrument_id,exchange,symbol,valid_from,valid_to,source_id,identity_status
ins_e8c305ca9a4447da,NSE,RECLTD,,,local_filename_only,UNRESOLVED
ins_d4ac636cf644191c,NSE,REDINGTON,,,local_filename_only,UNRESOLVED
ins_90431749177fe9a9,NSE,RELIANCE,,,local_filename_only,UNRESOLVED
ins_065a38f63d71a624,NSE,RPOWER,,,local_filename_only,UNRESOLVED
ins_a9f5df7ff95727fc,NSE,RVNL,,,local_filename_only,UNRESOLVED
ins_0bac70a46c02598c,NSE,SAGILITY,,,local_filename_only,UNRESOLVED
ins_e0cec0c9fd86910b,NSE,SAIL,,,local_filename_only,UNRESOLVED
ins_3edaff48d37e62ff,NSE,SAILIFE,,,local_filename_only,UNRESOLVED
ins_b9ffd81bde5b0af7,NSE,SARDAEN,,,local_filename_only,UNRESOLVED
ins_1717e34cc7c2365e,NSE,SBICARD,,,local_filename_only,UNRESOLVED
ins_2bb52ef7d79be5b4,NSE,SBILIFE,,,local_filename_only,UNRESOLVED
ins_4cafa4ab23254cfe,NSE,SBIN,,,local_filename_only,UNRESOLVED
ins_75890ec7fceecae8,NSE,SHREECEM,,,local_filename_only,UNRESOLVED
ins_5c05b6fc5af5ae2b,NSE,SHRIRAMFIN,,,local_filename_only,UNRESOLVED
ins_4826d9b11a843c1b,NSE,SIEMENS,,,local_filename_only,UNRESOLVED
ins_35f2989072c74156,NSE,SIGNATURE,,,local_filename_only,UNRESOLVED
ins_f78571e27981594b,NSE,SOLARINDS,,,local_filename_only,UNRESOLVED
ins_fb0d5c13b910c2c2,NSE,SONACOMS,,,local_filename_only,UNRESOLVED
ins_82b4a2ef295b69f3,NSE,SRF,,,local_filename_only,UNRESOLVED
ins_b257b8876dad008d,NSE,STARHEALTH,,,local_filename_only,UNRESOLVED
ins_374e980f16fb6a78,NSE,SUNPHARMA,,,local_filename_only,UNRESOLVED
ins_758fb1454b4dc509,NSE,SUPREMEIND,,,local_filename_only,UNRESOLVED
ins_6f4c913bc438b8aa,NSE,SUZLON,,,local_filename_only,UNRESOLVED
ins_c3b17472965f016f,NSE,SWANCORP,,,local_filename_only,UNRESOLVED
ins_81ab5607169dfca7,NSE,SWIGGY,,,local_filename_only,UNRESOLVED
ins_7f22a0287c21b5ba,NSE,SYNGENE,,,local_filename_only,UNRESOLVED
ins_f9ae94ce8f4b33b0,NSE,TATACAP,,,local_filename_only,UNRESOLVED
ins_f4524e7583309947,NSE,TATACHEM,,,local_filename_only,UNRESOLVED
ins_6975b21ac1c22f44,NSE,TATACOMM,,,local_filename_only,UNRESOLVED
ins_525e5b8c6ad62d09,NSE,TATAELXSI,,,local_filename_only,UNRESOLVED
ins_de95888d0049ca06,NSE,TATAINVEST,,,local_filename_only,UNRESOLVED
ins_bfa5a16d22a133b6,NSE,TATAPOWER,,,local_filename_only,UNRESOLVED
ins_0a7439a0ad0c0ca8,NSE,TATASTEEL,,,local_filename_only,UNRESOLVED
ins_e017cc78a3133ca9,NSE,TATATECH,,,local_filename_only,UNRESOLVED
ins_7ea0a1c444a2080d,NSE,TCS,,,local_filename_only,UNRESOLVED
ins_392fc38dd9821771,NSE,TECHM,,,local_filename_only,UNRESOLVED
ins_e5cd090f2da35e34,NSE,TENNIND,,,local_filename_only,UNRESOLVED
ins_348b98450230145d,NSE,TIINDIA,,,local_filename_only,UNRESOLVED
ins_6f8e80cf7eee8b70,NSE,TITAN,,,local_filename_only,UNRESOLVED
ins_d1426aaa92cfed6c,NSE,TMCV,,,local_filename_only,UNRESOLVED
ins_b01fcdcc1ee47066,NSE,TMPV,,,local_filename_only,UNRESOLVED
ins_3e6eb17e755198d6,NSE,TORNTPHARM,,,local_filename_only,UNRESOLVED
ins_5287d7527ae536b5,NSE,TRENT,,,local_filename_only,UNRESOLVED
ins_9a829eb36ce83375,NSE,TRITURBINE,,,local_filename_only,UNRESOLVED
ins_d71f4e407266845a,NSE,TVSMOTOR,,,local_filename_only,UNRESOLVED
ins_f0514fb227db53a1,NSE,ULTRACEMCO,,,local_filename_only,UNRESOLVED
ins_06d87c57090bd4c5,NSE,UNIONBANK,,,local_filename_only,UNRESOLVED
ins_eeaea4acc40a6149,NSE,UNITDSPR,,,local_filename_only,UNRESOLVED
ins_b8d22c3b8443d958,NSE,UPL,,,local_filename_only,UNRESOLVED
ins_bd139c6713781400,NSE,URBANCO,,,local_filename_only,UNRESOLVED
ins_b2ee35bd5949f2c7,NSE,VBL,,,local_filename_only,UNRESOLVED
ins_7b3d1e822103e83c,NSE,VEDL,,,local_filename_only,UNRESOLVED
ins_a8ae0ed56f209c44,NSE,VMM,,,local_filename_only,UNRESOLVED
ins_28d9aa3214d4f123,NSE,VOLTAS,,,local_filename_only,UNRESOLVED
ins_c78201db462f924f,NSE,WAAREEENER,,,local_filename_only,UNRESOLVED
ins_918488bbd94e901c,NSE,WELCORP,,,local_filename_only,UNRESOLVED
ins_9a899038e809e768,NSE,WHIRLPOOL,,,local_filename_only,UNRESOLVED
ins_d74f337d319f6836,NSE,WIPRO,,,local_filename_only,UNRESOLVED
ins_d606f85c209c7efd,NSE,WOCKPHARMA,,,local_filename_only,UNRESOLVED
ins_3477e79c8f149575,NSE,YESBANK,,,local_filename_only,UNRESOLVED
ins_2fd9e5eca7ca2e82,NSE,ZENSARTECH,,,local_filename_only,UNRESOLVED
ins_9481e7972eb0d320,NSE,ZYDUSLIFE,,,local_filename_only,UNRESOLVED
