symbol,date,close_to_close_return,classification
NIFTY100LOWVOL30,2018-05-10 00:00:00,0.6822649957026643,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-10 09:15:00,-0.40900892765910934,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-11 00:00:00,0.7020667055346694,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-11 09:15:00,-0.4106540676214381,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-14 00:00:00,0.6992814983315128,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-14 09:15:00,-0.4133794884798877,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-15 00:00:00,0.7047077155064088,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-15 09:15:00,-0.41291151213793487,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-16 00:00:00,0.7025171762626061,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-16 09:15:00,-0.40878181052273865,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-17 00:00:00,0.6841601053797564,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-17 09:15:00,-0.41003033750474027,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-18 00:00:00,0.6882632974449625,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-18 09:15:00,-0.4088115790287751,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-21 00:00:00,0.678778791873371,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-21 09:15:00,-0.41112016879255786,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-22 00:00:00,0.7019767110459674,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-22 09:15:00,-0.40938585841671205,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-23 00:00:00,0.6813560695046377,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-23 09:15:00,-0.4077533665775337,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
NIFTY100LOWVOL30,2018-05-24 00:00:00,0.6951870570170533,SUSPECTED_CORPORATE_ACTION_OR_DATA_BREAK
