symbol,file,asset_class,sha256,earliest_date,latest_date,observations,missing_trading_sessions,missing_session_pct,large_internal_gaps_gt_5_sessions,largest_internal_gap_sessions,duplicate_dates,zero_or_negative_price_rows,zero_volume_rows,missing_volume_rows,turnover_available,suspected_listing_date,suspected_end_date,activity_status,corporate_action_discontinuities
BLUESTARCO,BLUESTARCO_DAILY.csv,EQUITY_CURRENT_MAP,b3245d61bfcf622365e1cd8d886b613394eee571f03e70c8b3b9c0693dd42417,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
BOSCHLTD,BOSCHLTD_DAILY.csv,EQUITY_CURRENT_MAP,d7e345a51dc1e64ebb0bc77a1dcf68c989d61dfa41da8f65f92c4df294c8230d,2003-01-01 00:00:00,2026-08-13 00:00:00,5822,46,0.7844474761255116,1,22,0,0,2,0,False,2003-01-01 00:00:00,,CURRENTLY_ACTIVE,2
BPCL,BPCL_DAILY.csv,EQUITY_CURRENT_MAP,189498ea4a7acb22e2a20812ce300230c5a102ec2c580a4dcccb5758c8d06a36,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,1,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
BRIGADE,BRIGADE_DAILY.csv,EQUITY_CURRENT_MAP,1bb9fceb41df2bd70dc8b74dda60a0b9688ca919f4e633dae82c959754f0afe1,2007-12-31 00:00:00,2026-08-13 00:00:00,4597,14,0.30388539179509444,0,0,0,0,1,0,False,2007-12-31 00:00:00,,CURRENTLY_ACTIVE,0
BRITANNIA,BRITANNIA_DAILY.csv,EQUITY_CURRENT_MAP,629e5b820782c8cb2a7809c8614474398e7ffef8d7dbf6c4f3046fbf9eb060ca,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,2,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
BSE,BSE_DAILY.csv,EQUITY_CURRENT_MAP,2678b1e825116df351d4daf10fcfcade673377ee72e392d8417b88b7209ab65d,2017-02-03 00:00:00,2026-08-13 00:00:00,2357,2,0.08492569002123142,0,0,0,0,0,0,False,2017-02-03 00:00:00,,CURRENTLY_ACTIVE,0
CAMS,CAMS_DAILY.csv,EQUITY_CURRENT_MAP,d2db4c7ba73ecb87e4ee189918953c84219962d67a96d5640775f515cc8aea02,2020-10-05 00:00:00,2026-08-13 00:00:00,1453,0,0.0,0,0,0,0,0,0,False,2020-10-05 00:00:00,,CURRENTLY_ACTIVE,0
CANBK,CANBK_DAILY.csv,EQUITY_CURRENT_MAP,df36c9aa7ee489f6d1e8ad38fc4f7ce58b88ad2e50dd22aa1800ee18967ea450,2003-01-01 00:00:00,2026-08-13 00:00:00,5822,46,0.7844474761255116,1,22,0,0,0,0,False,2003-01-01 00:00:00,,CURRENTLY_ACTIVE,1
CASTROLIND,CASTROLIND_DAILY.csv,EQUITY_CURRENT_MAP,55fd923f69b982d7a8eb0cd55b147eccf6680edc0f906f3523ef1317a867231f,2007-08-16 00:00:00,2026-08-13 00:00:00,4691,14,0.2978089768134439,0,0,0,0,10,0,False,2007-08-16 00:00:00,,CURRENTLY_ACTIVE,0
CDSL,CDSL_DAILY.csv,EQUITY_CURRENT_MAP,89e745cfaebbb5406b87e8c9a064e19b74f8a8cb54a481b84abb974e137161e6,2017-06-30 00:00:00,2026-08-13 00:00:00,2258,2,0.08865248226950355,0,0,0,0,0,0,False,2017-06-30 00:00:00,,CURRENTLY_ACTIVE,0
CESC,CESC_DAILY.csv,EQUITY_CURRENT_MAP,b6da8e717274a74f088916813609c642a7e76ade9e1ccc8669d2fc2294ab3ba4,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
CGCL,CGCL_DAILY.csv,EQUITY_CURRENT_MAP,6e1cc6fd685ef2792a418fe963c53fb1aa3969c712fbc489b6d24bc8478c7865,2010-10-29 00:00:00,2026-08-13 00:00:00,3901,12,0.3069838833461243,0,0,0,0,57,0,False,2010-10-29 00:00:00,,CURRENTLY_ACTIVE,0
CGPOWER,CGPOWER_DAILY.csv,EQUITY_CURRENT_MAP,cb37c7cef082b9903c946484dd72efc20225e8257bc9c70716fbffcfbc0ff001,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,2
CHAMBLFERT,CHAMBLFERT_DAILY.csv,EQUITY_CURRENT_MAP,60b2e6330fb05c02d029983b7e67a56859b7c958027764cca28af2a6e425d788,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
CHOLAFIN,CHOLAFIN_DAILY.csv,EQUITY_CURRENT_MAP,9904b8aebdf52782b5f18d62dab7567402f01781cf601d5d08cd02a169a6b52e,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,1,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
CHOLAHLDNG,CHOLAHLDNG_DAILY.csv,EQUITY_CURRENT_MAP,538d48aa2393df89cb48910b71f8c5ac8b26a4813bf1bd340c3e655d5cec8f97,2017-09-25 00:00:00,2026-08-13 00:00:00,2199,2,0.09103322712790168,0,0,0,0,0,0,False,2017-09-25 00:00:00,,CURRENTLY_ACTIVE,0
CIPLA,CIPLA_DAILY.csv,EQUITY_CURRENT_MAP,f53222b7e73ba3276eb27f1f84d5cbe2d48c1623bad323a8ea0664b3383288f4,2003-01-27 00:00:00,2026-08-13 00:00:00,5804,46,0.7868628121792679,1,22,0,0,0,0,False,2003-01-27 00:00:00,,CURRENTLY_ACTIVE,0
COALINDIA,COALINDIA_DAILY.csv,EQUITY_CURRENT_MAP,7bf1436d4e59a970c51a177173898ddbe6816f03352781e5fdc41ffd2d6671cb,2010-11-04 00:00:00,2026-08-13 00:00:00,3897,12,0.3072983354673495,0,0,0,0,0,0,False,2010-11-04 00:00:00,,CURRENTLY_ACTIVE,0
